UUID,VIN,Make,Model,Mileage,Year,Price,Zip Code,Create Date,Update Date,String column,Number column,Date column
368184915146,371913131,WIGH,XHQD,197921,1993,"$22,287.00",15370,12/13/2012,1/6/2019,MUDN,484293,41335
831940363957,355721907,LSJB,JWGT,84168,2008,"$18,705.00",55806,9/26/2019,7/30/2019,RABC,935238,42817
937725116021,824270404,BKAS,HOMM,224183,2019,"$25,378.00",3488,11/11/2012,7/11/2005,BFSQ,579251,39171
233303958462,593356188,UMXM,HFMS,167015,2014,"$15,133.00",25982,9/14/2014,12/31/2007,ERPK,826004,39958
532453047821,915883181,LKXK,OOCY,168159,1985,"$23,969.00",84633,7/28/2019,5/12/2020,COWX,953475,41365
897547066941,111520066,WPMQ,QFSA,116996,2010,"$6,680.00",57939,3/22/2006,9/5/2012,FGLY,924608,40839
880034483483,254384807,ICXU,WAJB,3847,1993,"$24,750.00",90399,6/18/2005,10/16/2007,GLRK,566544,43762
934605185202,106270587,UXNK,SMGW,153309,2000,"$9,175.00",74214,12/1/2006,12/7/2019,AMER,272340,41220
998536745891,902966646,OEDT,WQRT,191862,2006,"$6,496.00",15468,1/29/2015,10/27/2010,OAFS,188126,42204
616993679071,549606004,MJYB,AKLD,216151,1997,"$17,966.00",86701,1/26/2008,2/2/2019,NGTP,1283721,40028
319554099690,331895814,PMKU,YMPR,91390,2003,"$15,547.00",18083,7/4/2014,6/3/2011,VQXU,1389469,40708
493365404943,459163830,WSTV,YIEF,118645,1999,"$5,802.00",18234,12/14/2014,9/27/2016,SXXK,1290879,41438
658180130718,117922449,WDMT,XTXB,140408,1989,"$6,403.00",38904,9/9/2017,1/14/2021,BRCV,897215,38675
945799241115,839999739,RVOI,RTRN,203306,1999,"$9,005.00",73070,8/6/2017,5/27/2006,NJQN,585804,39702
997508134913,961588507,WBER,HPQQ,38724,2021,"$22,608.00",94242,11/16/2008,1/4/2009,YLDO,207309,42404
611326646528,431500322,DQMI,WVGC,212101,1996,"$17,745.00",40372,1/28/2007,4/22/2015,OQIH,741618,41073
689772696461,558029128,MRDD,OVXX,161594,2008,"$11,348.00",55308,5/31/2014,11/24/2013,KMWO,1398342,40640
949054806922,658063622,FTSE,LUWQ,2135,1982,"$9,542.00",23860,3/4/2006,7/8/2012,WNBU,275593,42356
643910982659,330570650,GFAD,QVQG,37773,2007,"$26,652.00",96497,5/17/2010,11/11/2015,QFPF,477497,41667
262752883430,630165845,JDNL,TCAA,233261,1998,"$5,279.00",52135,9/7/2008,6/3/2010,HYGI,1249279,41377
844147312761,515643216,HWBD,REEO,97843,1987,"$11,859.00",63718,9/7/2008,4/27/2005,WQCK,224514,42639
297140710158,845965821,MQCG,DGCF,168529,1995,"$28,477.00",87881,4/10/2016,11/7/2007,JKIH,219783,40958
657926906004,402414608,DHQL,HFKS,224222,1993,"$22,376.00",29739,1/17/2005,1/2/2012,UNCH,935796,42238
496876766902,521136350,LOYM,TDAR,143025,2010,"$7,387.00",53865,9/20/2011,1/4/2014,QWLN,642921,38821
358696154408,769102796,CDJD,DPVF,125180,2016,"$19,563.00",13970,9/20/2011,10/1/2015,XKCI,1226860,43940
828214450332,614924340,VKCN,ESJI,88441,2003,"$5,236.00",70296,10/23/2020,7/12/2008,ALMH,300808,41365
832009325057,590941299,JUVU,BMRC,28557,2009,"$12,711.00",15996,2/12/2017,4/25/2018,STDY,868775,42656
412629885110,507610919,WOJX,ONXM,153174,1990,"$15,275.00",25663,2/16/2016,12/26/2011,FEON,445440,41549
807412277136,100864277,WBRD,CPDL,246418,2020,"$17,228.00",57610,7/15/2012,9/4/2009,YCII,1441529,38816
452875292256,822963185,STWP,PPYG,116997,2019,"$29,106.00",13363,5/23/2012,9/2/2014,SOYO,980308,44257
676499748561,674574776,TQPH,MYFO,130128,2000,"$26,487.00",29769,9/23/2011,4/8/2009,GQOO,1427646,41774
958650533522,728647681,RHIF,TRMH,168623,1988,"$20,232.00",73873,1/6/2017,4/19/2007,DVWJ,1400964,44246
415265840885,755997337,PKCS,HFCK,56839,2002,"$10,119.00",76425,12/18/2012,3/3/2005,XFMJ,864766,39903
510493067567,507932841,WGKQ,TQJI,118056,2014,"$29,917.00",9145,12/6/2014,3/25/2014,RRLC,414451,38751
629980073022,189246395,DAXY,YWBV,146056,2019,"$12,282.00",14919,11/13/2014,12/12/2006,XHSG,1415724,39039
365957198338,392673388,GOYI,IQME,248406,2000,"$13,228.00",37623,10/12/2013,12/22/2014,PIIW,1408297,39413
426749500063,239027284,WERH,NSNW,40444,1994,"$6,326.00",35854,12/6/2005,9/12/2013,ACRS,324420,39275
286396661036,916190602,PSHH,XKKF,42233,1992,"$9,678.00",47743,8/20/2010,12/29/2007,XICB,1431433,43365
459910204052,955503668,CKQD,AGMC,79472,1997,"$18,230.00",57984,10/19/2015,10/27/2018,NSVS,1160932,40195
490695557250,466194527,LVBB,EUDO,142097,1982,"$6,734.00",80674,4/12/2018,4/5/2021,TTXA,163507,41881
620478293950,322601958,RGYI,YBKM,55434,2001,"$15,765.00",44660,11/28/2011,12/19/2007,GCYO,514034,40533
764448543369,643606849,SWMN,IDFB,47251,2012,"$10,962.00",33209,5/27/2017,6/21/2019,WMYM,1206986,39615
367945750421,253779361,HVKD,JJOR,221519,1990,"$15,842.00",47199,1/15/2010,5/23/2014,MBXJ,890118,39643
430011455042,209619529,IIIQ,EGKL,44803,1986,"$15,021.00",55339,4/2/2020,3/20/2006,FJKJ,619558,40483
504405318581,407573686,QVAE,UFEW,47252,1996,"$23,460.00",1926,12/13/2019,6/7/2008,AQBD,1072135,43144
220489955287,497457111,RGHF,ISSW,89617,1984,"$29,364.00",18554,1/13/2014,2/2/2011,KWTK,1256579,38673
214819846378,760702212,LTMQ,XTCM,207937,2000,"$15,788.00",16478,11/4/2017,8/10/2015,BMUD,153326,43894
775371733855,289309075,KUKG,WQTE,61819,1995,"$17,567.00",27175,8/21/2011,4/17/2010,VAJK,975514,41459
209515074737,730824671,HKTT,WGSS,15887,1995,"$12,607.00",77775,10/12/2019,11/18/2020,OVUA,1084448,42929
758722381677,495279921,QRJQ,POWA,197822,2007,"$23,932.00",21124,11/5/2009,1/6/2010,HKUI,223165,42868
770785176591,398881769,NQYQ,KVYH,116905,1996,"$29,632.00",59310,10/1/2006,11/27/2012,WMEQ,543679,43401
584549257514,997803331,QOVW,MURK,162804,2000,"$16,287.00",91930,5/4/2018,11/2/2014,GPTE,1282367,40935
623782013819,864528336,ERVW,LEKB,243607,2013,"$11,650.00",5178,4/17/2015,4/16/2012,NWLA,630377,41896
755298494468,839924528,JDCC,ALRO,35645,1992,"$11,245.00",80096,8/3/2014,6/25/2013,LEHE,926891,39882
179351503462,132775280,AQEL,YUKN,128946,1996,"$29,213.00",98754,2/16/2013,12/20/2007,WTCO,172097,42778
686008288098,782631939,JDYD,HGQR,196606,2017,"$5,995.00",99459,8/12/2015,2/1/2005,TPNY,1246828,43235
772733181968,688526704,RGIG,USJE,84507,1998,"$17,254.00",56781,4/9/2009,4/4/2021,HXJF,1472400,41709
701227817077,348782160,DGNQ,ACBK,88725,2000,"$20,701.00",8965,1/29/2015,7/2/2015,PJVE,1178032,40668
194417075731,564045188,MRNS,PMJC,23389,1993,"$19,256.00",16617,3/19/2021,7/15/2011,ABYA,400788,44319
777570397492,218194678,PXPG,OWYF,44905,1996,"$8,898.00",23274,3/25/2020,5/27/2010,XSVS,393629,39093
758128833619,946117125,UJVL,JSFT,164506,1998,"$26,646.00",42921,7/1/2018,3/17/2009,GYJL,707847,39966
230158971910,669589559,TLMQ,XXBO,175196,1996,"$15,699.00",77640,5/30/2012,1/12/2006,QUEO,581670,38612
213880142148,941242357,UQHL,MMPO,220854,2001,"$19,281.00",77445,11/1/2020,9/25/2009,PCVT,625190,42442
145011298499,654907834,KATC,EYDW,227479,1990,"$27,935.00",78940,3/25/2020,7/29/2020,YLSF,1335881,40372
212076385790,912780761,TQJM,NMSF,4474,2014,"$23,271.00",94780,12/4/2020,11/18/2020,KYBG,47018,43349
275682896693,685211977,HDTN,BQGL,137123,1998,"$22,599.00",31117,6/9/2013,9/3/2005,OTLH,792169,40267
386430625018,400699823,ULFD,SVHR,205659,1983,"$22,589.00",31068,8/24/2015,11/2/2017,PIBF,1365944,40967
805632891486,945143117,NLCO,GGYA,246196,2010,"$25,464.00",99725,8/16/2013,5/24/2017,YVMN,371901,40192
910318391387,717247447,FEGX,SWHI,162223,2012,"$24,060.00",90139,8/23/2007,3/22/2017,MAGX,234572,38827
527508179110,895458606,WVER,WRRR,143420,2002,"$6,736.00",14684,2/5/2011,3/29/2016,VUFA,252427,39846
612460041874,198198732,WKOO,POCS,136917,2013,"$13,403.00",41225,7/27/2015,7/9/2006,HMKV,655414,42398
776874669819,276443285,HYKP,KCAD,110849,1985,"$8,157.00",23662,3/7/2021,6/7/2019,EELB,230645,38499
515486107221,354780660,RYGF,ODAR,1965,2011,"$14,925.00",38245,6/30/2012,10/15/2005,FCMG,372843,40320
346191627822,865252032,OWFA,BOGL,172113,1996,"$17,317.00",29248,1/28/2005,6/1/2009,OGKL,1162134,39419
594890978518,274268061,SYNW,EFRQ,181280,1992,"$27,787.00",67198,10/28/2008,10/9/2005,YJRE,187362,40135
780673257075,339080333,NIWB,UCGH,196503,2005,"$20,920.00",32669,7/19/2005,12/16/2014,MTFN,186402,44268
488786318105,423679220,MPKF,DRNN,107698,1986,"$23,275.00",65009,6/15/2006,4/30/2008,KHDL,620892,41866
852064451947,845368166,WYMQ,TKJM,229185,1990,"$15,724.00",84586,6/11/2006,9/19/2020,ERXP,945855,39231
721215853253,719905916,YWQP,ULFC,160961,2022,"$15,007.00",20382,2/17/2012,11/27/2018,WIMP,1393489,43511
420547899185,917229631,CMNQ,ENRL,201354,2011,"$22,351.00",11371,9/12/2005,12/15/2017,UXKD,481816,44155
116889373161,697730666,RMHA,YNEW,198659,2018,"$27,447.00",30100,9/30/2018,2/24/2017,MCVI,641967,41958
325576357008,704482628,SERH,DBYR,220649,2007,"$29,600.00",53201,6/9/2016,2/26/2016,LDAB,275718,43501
574147995021,974061092,ILTM,MBKP,125719,1980,"$18,463.00",28383,10/14/2018,12/24/2018,SQOM,571849,39825
710284988830,420864559,YAWG,MLIX,84023,2006,"$6,543.00",60987,2/12/2008,9/14/2013,APHI,541547,38395
249712356272,519714671,SNPU,XPTO,145658,1986,"$7,950.00",63456,7/18/2014,7/8/2010,EUXD,1234447,43145
443486751407,959404215,SRCM,DJGI,88184,2009,"$13,118.00",52935,3/29/2006,12/26/2008,PXLX,494741,44112
275025999395,789388884,EHDO,KHIL,137934,2008,"$24,072.00",65492,6/2/2018,12/24/2008,QXNJ,1204460,43588
390613555967,968934540,FINC,EECH,226783,1992,"$25,987.00",11903,9/19/2006,10/24/2015,TRHI,1066948,41093
334342546995,864042891,CTVG,EVND,80610,2007,"$29,328.00",30294,12/8/2013,3/28/2010,UGLK,482367,39187
928164549614,654145267,DIYS,GGGX,123449,1990,"$16,992.00",2647,11/23/2016,7/25/2009,LQIO,365481,40533
861476320848,348596540,XDSY,MBQF,134780,1983,"$19,316.00",50295,2/5/2021,11/5/2018,FOUG,1329834,44032
643408490936,693469846,TOOE,QYXG,134480,2021,"$7,978.00",27519,1/18/2011,9/16/2017,RPQK,1235064,39962
860521061052,770235207,PBUB,YEOY,209051,2008,"$29,274.00",20937,7/23/2011,6/23/2006,ITNP,261211,42424
705714817765,117873619,CTMO,YULT,35127,2013,"$5,108.00",1935,4/14/2008,4/9/2018,LPDD,884655,40283
488826371511,300118778,WDYW,SKDD,232760,1991,"$17,740.00",68657,5/20/2017,7/9/2019,YUGV,1055761,41459
501727881671,558964990,MUQT,KYHU,6812,2019,"$17,202.00",81480,4/23/2018,5/23/2008,IREU,593035,40772
703908626264,393170510,SRFJ,HXBH,113729,2008,"$8,353.00",14587,11/1/2019,11/2/2016,GWVQ,877867,38935
652732900912,126810113,GDCH,RFET,78880,1998,"$23,167.00",83310,7/1/2010,8/4/2012,KGSI,912702,43207
623374767436,608915510,RNPR,RWBY,10545,2010,"$6,773.00",53535,3/3/2012,10/20/2007,SYWG,543197,43621
358385297788,781723523,LYOX,PWKO,84173,1986,"$25,092.00",20587,4/26/2006,8/30/2009,CCPN,576590,41715
464780156568,750913137,LHGE,KTLA,40692,2003,"$9,296.00",84645,2/5/2015,3/9/2017,QWJD,45428,40574
161193210217,305780541,HPXY,SUVK,196645,2006,"$28,315.00",73180,3/3/2015,2/19/2012,JGBC,782901,41226
364862555317,785858687,HIYJ,FAWC,114174,1993,"$21,196.00",41754,3/1/2012,8/30/2005,NPKL,133910,41435
295777181864,989804818,ORYJ,VRWN,138508,2019,"$27,160.00",96489,9/23/2011,2/16/2017,GBVW,728766,43546
551846197230,176405127,JKJE,SPGV,188360,1999,"$24,398.00",97240,3/4/2007,8/21/2010,BUVV,218923,42346
666312262901,931399801,GOPQ,QOLT,42106,2022,"$27,594.00",76613,1/3/2015,7/11/2010,NTSH,297678,39317
795353409667,667476866,OOGW,MUPR,58090,2021,"$5,444.00",32364,12/10/2008,9/5/2012,HJME,1302287,42704
495330275472,985794792,CEPE,TGQM,213480,2002,"$27,757.00",60674,8/16/2019,5/25/2019,YYBO,1147325,39845
153574813215,695426670,GTRL,UXNE,38213,2005,"$22,974.00",4364,7/26/2012,5/29/2009,DJEO,1426997,42779
163182623967,940761277,WLRD,RIHT,89808,1980,"$21,935.00",70124,4/3/2021,5/27/2020,KXEF,1190075,41036
102218680629,366751098,PSNT,TGMH,194471,2003,"$5,203.00",91145,11/11/2008,8/15/2018,JDEO,1080627,39547
836203691319,961830187,RTAV,URKC,186788,1990,"$12,584.00",69327,2/8/2017,9/1/2011,JTVR,131418,41741
972688448012,959966454,SRBW,XOIY,95684,2009,"$23,185.00",48316,7/4/2010,2/22/2009,XHYH,342197,39829
584556029520,507023374,CGTB,JYGG,202017,1984,"$11,573.00",46546,3/3/2021,1/5/2016,VOAJ,566038,40456
664036217348,305207216,JOLC,WBHQ,205545,2013,"$22,432.00",81511,1/30/2017,3/23/2008,NQXH,447257,43860
959774186139,569137668,NVMH,QIDH,140649,2002,"$27,888.00",37323,5/13/2009,6/28/2012,FDSL,1140110,40723
373435833574,963506208,KOGK,PNVX,63670,2000,"$18,785.00",75140,1/20/2017,2/12/2007,DMCV,373640,38633
824361437590,516430276,CQJJ,KLSN,8412,2017,"$12,986.00",6568,6/15/2009,1/14/2012,JQHA,183238,40733
319950949603,166724819,BAVG,QFFJ,152323,1990,"$28,020.00",53322,12/10/2011,11/30/2012,SOBN,1237859,40320
758953497219,762805958,NJLC,WEUD,197317,2003,"$6,438.00",13875,8/2/2010,4/27/2011,IXDN,902141,41726
705790108840,252712231,LMFW,GJHB,79958,1995,"$11,530.00",1293,7/25/2012,5/21/2016,GAYT,910602,43613
269375591897,370072870,TWEY,YBEW,89700,1983,"$16,910.00",32617,11/19/2012,12/9/2019,JIUS,1184483,43472
565407504988,884284389,DSWY,CSHS,51292,1990,"$27,811.00",88002,2/27/2020,6/16/2012,UYGF,427608,38706
749530408778,126591621,ABLO,LKBQ,103974,1984,"$24,307.00",26344,6/17/2005,5/5/2011,GLXJ,228030,39126
325899831757,428640089,EMJQ,SOPX,144456,1987,"$19,024.00",90014,1/18/2010,5/8/2021,WHXR,578950,43349
144920647979,938090857,TKLD,PYAB,183400,1987,"$6,535.00",12513,12/30/2015,5/31/2008,OBTF,933524,43918
430154130463,282299583,SOET,JMCK,237119,2003,"$20,571.00",80902,2/19/2013,5/13/2010,OCVG,484999,40605
294500194905,632265965,JJDO,DHJR,206536,2000,"$13,943.00",53205,11/17/2005,8/26/2018,HCMW,642101,41733
327920499810,199796729,JRQB,JQUH,70799,1982,"$25,783.00",71695,12/1/2009,7/29/2020,WOYV,1224275,42400
489545647107,514036249,SXHQ,FQFA,159496,1986,"$29,735.00",2681,6/6/2018,5/15/2018,KILO,923130,43687
198030381083,149232674,VQSH,VWIY,14356,2003,"$20,817.00",39954,9/9/2013,5/21/2016,TWKA,1047576,39809
881738580600,203342335,YJXN,VTXI,60663,1988,"$23,281.00",42402,11/21/2012,5/29/2013,RPJH,1443408,40029
938779816208,609267792,RJDL,MAGE,82346,1980,"$22,145.00",85980,11/25/2012,7/20/2006,INNI,756092,40567
548355393791,252763354,KILD,EEQV,220088,1996,"$29,057.00",33688,3/27/2014,3/1/2015,QGTE,744691,38931
622288877726,507866582,YRIP,RWLC,208477,1982,"$20,109.00",93468,1/8/2008,3/3/2015,SOJU,1310294,44172
200396720197,433980576,MJBN,GWCP,204780,2020,"$22,400.00",87070,6/8/2016,3/31/2015,LYDK,365715,41242
604480990569,508605812,HHUG,SQQP,246027,1985,"$6,473.00",32449,9/21/2020,6/26/2019,RAKG,521681,39376
914982616668,226479287,RLWY,WFOS,34867,2020,"$28,253.00",64504,7/2/2019,1/10/2015,XYDX,465371,42983
275065233951,483908153,HIDK,LULI,91276,2005,"$27,552.00",29307,9/24/2013,9/13/2020,UXSO,1493751,41903
622038288690,260446776,BXBT,UULN,210007,2014,"$18,805.00",7066,6/1/2011,7/17/2012,BQGU,1387772,42015
514223878571,992288861,EXQE,RUUP,29810,2003,"$10,765.00",91403,12/17/2008,6/14/2006,XAVT,945785,39603
258156057080,200484264,PYUA,KSVV,132088,2006,"$29,326.00",86097,5/30/2011,10/12/2009,QWSG,992952,39954
445098306574,547522850,TGNL,KHMC,39871,1991,"$13,726.00",32674,10/25/2012,2/1/2012,GSJM,1052208,40615
768809321101,794714504,XCEK,JJUM,82691,1989,"$24,518.00",61779,12/3/2016,4/13/2008,EMDN,595957,39624
866924670079,238296727,LSYY,JABX,159782,1989,"$23,389.00",16651,5/27/2012,7/1/2017,DRPW,163789,43210
440399313677,812649914,KPTP,BKET,123647,2006,"$14,432.00",59869,8/21/2007,7/20/2017,MPXB,214911,39225
163916214049,716951744,FEKQ,UMOP,6029,2000,"$7,249.00",50431,7/23/2006,11/26/2013,EBPD,60062,41131
842826146118,507624548,JJBU,BRKD,136657,1992,"$22,971.00",37389,4/30/2010,7/9/2007,WJTW,337185,39446
283640526068,922715688,JPVH,BKRY,170949,2004,"$25,188.00",8080,7/18/2015,1/5/2018,YVQF,770854,42757
273602258007,338828931,NPPW,QGYL,121060,1984,"$22,476.00",51896,5/9/2019,7/20/2013,ORAT,482091,39693
697441742742,968537782,QJMM,UWJP,103552,2010,"$9,447.00",86090,3/21/2009,1/13/2007,WHFY,540252,39171
898485918473,692478026,JXVG,TUCM,149392,2010,"$11,213.00",10012,8/2/2020,11/6/2005,YXUS,200469,43030
808956644875,989270852,CHOO,VPWN,206936,2012,"$26,572.00",43473,6/30/2009,1/13/2008,AGGQ,1003026,38706
559038933736,540157951,GYYM,SAOA,172400,2009,"$5,913.00",90063,7/31/2006,2/21/2017,DJFN,103423,38827
587334360011,293288675,QMXD,NPYQ,119794,1987,"$25,411.00",21565,8/7/2006,12/10/2008,DPQC,289027,39166
662549107239,349019661,DFMK,GWYN,57116,2020,"$17,989.00",85119,8/2/2006,1/11/2017,AHNK,1391014,42191
424568447159,258298170,JUPK,TJQS,196668,1984,"$18,565.00",86149,6/20/2019,8/25/2006,DKBQ,318444,42799
327862645159,217611576,WMUO,BOXX,48694,2008,"$19,124.00",27942,6/2/2006,3/27/2018,UWWY,881675,38814
264373894502,976529908,QLPV,QOPI,110157,1995,"$8,797.00",69230,11/17/2010,2/6/2008,WPCS,1413549,40171
145612717881,202474660,GAWO,DDXV,134117,1983,"$21,079.00",53177,5/1/2016,1/14/2016,GERR,940956,40206
319092985283,653907263,HBTE,NCHR,43994,1989,"$29,984.00",87891,6/9/2007,2/7/2008,SFLT,77448,43026
132191501874,244183345,IGVJ,WFKV,94938,2021,"$20,638.00",46569,5/16/2014,9/12/2010,QPEJ,1100955,40046
884804758375,754252012,PAYX,XPJA,39597,2018,"$8,354.00",81044,3/26/2017,9/17/2013,EQMF,1226876,44271
742987416707,912635116,JEUY,BGIG,244752,2017,"$7,718.00",81590,11/1/2009,11/16/2009,HOPJ,1075996,41437
619569080291,212948305,IIUT,OFVM,72949,1988,"$16,056.00",75072,1/31/2018,11/2/2018,BEXS,1249708,40664
636603829888,705715267,BCNT,MSIF,107570,2022,"$12,713.00",63340,7/12/2007,2/20/2017,GGQJ,964908,43641
459797321192,117431847,LHTH,MTGN,122733,2004,"$11,033.00",80212,5/3/2007,10/9/2012,BLEV,649133,43686
593011704435,233948621,EIVN,RWBC,123264,2003,"$14,977.00",83875,4/20/2021,2/22/2005,QTCH,152091,41007
292156409408,414885620,VXNM,DDIS,103018,1983,"$15,819.00",39951,11/14/2009,7/2/2019,MIUK,114347,43854
725196004856,457666289,OIST,PUQI,6248,1981,"$17,992.00",45792,7/11/2019,2/19/2014,EHPL,1030039,43761
358046592106,493908726,WVUG,JTSN,144173,1999,"$24,986.00",35270,8/8/2020,7/30/2011,WDTV,693964,41019
746480093890,459143865,BHFG,UGJK,248933,2004,"$27,762.00",68396,4/24/2007,1/11/2007,GKNT,1101234,43023
562220010210,637793207,VAVM,OLKN,177344,2021,"$6,602.00",58855,8/25/2018,9/24/2014,NYRX,130556,38976
370311333666,297005115,IQAQ,EUHX,26783,1992,"$29,452.00",47309,6/29/2016,7/14/2017,GCDH,91402,38783
862016827085,436321843,BVWE,BGWJ,55049,2005,"$10,460.00",66521,1/23/2020,11/10/2005,AWOT,175751,40912
202132473798,316135024,RAKF,CBFD,224070,2001,"$25,479.00",71040,5/16/2017,5/29/2016,LNWY,684919,39570
387286824953,202426037,BBOF,MHGC,196272,1985,"$28,703.00",24259,11/12/2019,1/10/2008,BRUG,851219,42048
505631092948,855931890,IIQC,JBKU,190354,1999,"$16,460.00",91652,6/19/2020,8/6/2019,WUYE,83155,42322
849453568463,584166192,JQHC,SDAH,102544,1991,"$22,827.00",60360,3/13/2012,8/16/2015,XSJN,480603,39443
280046166162,490778993,HQTH,AKPW,84114,1983,"$29,478.00",18907,7/13/2007,6/28/2010,GQUQ,1068444,39984
540287233051,113684142,KVOB,BFYN,186032,1980,"$27,176.00",8744,11/17/2016,10/1/2013,LMJY,735780,40310
208525984061,447278009,PFBK,UKUL,186491,2009,"$26,505.00",33697,6/13/2009,9/18/2013,AWFO,358936,38544
553523246001,448199909,MSDM,UIQO,102419,1982,"$29,510.00",68305,2/16/2018,4/10/2009,UWPW,487688,42980
137291212192,216515916,FFCG,YCYA,41368,2000,"$12,091.00",55357,2/10/2019,2/12/2016,EXOI,348484,40797
725044932682,346774594,RERJ,NBQS,227609,1994,"$10,266.00",75423,2/20/2016,7/31/2012,NLMS,1355812,40031
824397748200,430203026,XIIB,YMWT,49885,2001,"$14,081.00",14862,4/14/2014,2/9/2017,CWRM,421967,40228
727303427098,986237321,GVLW,MALC,226169,2016,"$26,627.00",84465,1/7/2018,11/21/2018,YQTV,1257182,40729
278354921543,106006477,WTSS,RYUA,148948,2001,"$9,478.00",80723,2/26/2011,6/2/2007,UMIG,1085576,42758
651154562810,953990271,XWAS,RPST,140086,1990,"$5,616.00",11580,5/7/2012,3/2/2020,OXVN,692625,38717
359198581363,919201679,FMRP,QBOJ,109756,2010,"$5,332.00",13486,3/4/2010,11/9/2018,JNCU,211962,41338
901335426501,400786531,UKEL,DJFF,133420,2020,"$11,508.00",27675,4/17/2018,3/19/2016,RMNN,1366855,41889
176610231685,599585410,XVGP,IKLI,112147,1990,"$9,488.00",27516,2/8/2017,9/6/2020,QNGB,1197158,39025
341187004862,387262067,KPOH,NAEW,120815,2001,"$5,839.00",90137,10/30/2014,11/17/2008,KPMD,1040686,39938
325396917299,629454089,AYNG,BCNA,127373,2021,"$19,203.00",62727,10/13/2006,11/29/2008,HAVU,1055499,42266
376564132923,891042613,TKMT,LEQQ,103667,2020,"$14,081.00",2666,12/22/2019,10/31/2010,GUYN,776233,39215
202497877856,470683533,GHED,ABCO,183761,2021,"$12,456.00",94130,2/6/2007,6/6/2007,EQMK,250664,41731
129588294162,741504681,WXVO,TUPE,209777,2016,"$9,423.00",57028,10/1/2007,9/12/2018,CCIX,893654,42392
951366264783,537196461,AKCG,MCPJ,71357,2011,"$13,319.00",71596,11/5/2013,2/5/2012,OPBN,1073434,41811
839227903204,734422288,JISE,LLOX,117210,2011,"$28,306.00",78448,7/18/2010,7/17/2006,BWIC,305174,39009
649111027790,859327062,QUHO,QSPU,34834,2017,"$12,195.00",6890,8/13/2019,3/4/2014,GMNY,149909,42667
739688834651,624264533,IHOF,RJDC,121417,1997,"$6,242.00",1595,6/21/2010,2/5/2008,BIXE,896510,39328
254505110413,435059001,HGQF,VTRT,145532,2005,"$5,323.00",38294,1/18/2018,2/20/2014,XTSY,33174,41940
819125273583,956126864,ARXR,LEPO,234459,2018,"$14,476.00",1425,12/15/2013,1/2/2005,FIDS,347826,38369
156516241785,101405549,INQR,NPAT,126968,2013,"$16,408.00",66639,2/11/2014,6/15/2009,CQDN,1266508,41515
292915092467,848291282,MEWK,BCQG,220053,2010,"$29,108.00",91874,10/19/2008,8/23/2006,QMGM,1267443,41231
234353232607,979212834,TPQH,WOIA,171434,2004,"$13,076.00",89327,10/22/2015,5/22/2005,KFGS,1100227,41540
138172842763,169146477,JNLJ,PGOF,237365,2014,"$14,197.00",55807,5/8/2009,1/12/2015,XGSQ,523013,38847
762414030958,583606261,AJEI,TGOV,44554,2003,"$20,445.00",63211,2/12/2010,2/12/2005,ESVM,541493,42674
612597217847,525393414,SCRY,VSQB,200669,1981,"$18,923.00",46965,7/8/2019,12/13/2006,FUAU,862006,43623
763551467018,457686506,KDGH,YXDL,20066,1983,"$10,032.00",12668,9/26/2012,8/19/2016,DPDE,1412389,38522
