Create Date,UUID,Date column,Model,Mileage,Number column,Year,Make,Price,Zip Code,Update Date,VIN,String column
12/21/2013,760598268216,43492,ILXU,213294,1434893,1988,UDLI,"$7,388.00",50188,1/7/2020,598422106,WNXR
7/10/2017,869751811750,38929,MCFM,207093,1007288,2000,NEBU,"$13,617.00",67012,1/15/2008,149739465,EHGO
2/20/2019,564645629180,38383,VKYH,200781,738362,2014,PDLX,"$6,624.00",96313,6/5/2010,360730280,ADFN
2/20/2014,229071624922,38720,RAPS,116007,762246,1998,OYOD,"$29,776.00",7870,2/15/2010,597439231,SQCI
6/3/2019,704777970793,41265,IGWV,17452,523886,2016,EPKQ,"$17,891.00",89672,4/24/2010,927123645,VGYN
1/3/2010,619046547042,43517,THYG,146484,1027748,1984,VTCD,"$8,977.00",14526,11/15/2011,216926178,SHGV
6/19/2019,700667938983,44328,BFWE,185136,1294149,2002,FUYE,"$28,645.00",74988,8/17/2005,253355389,GISD
5/21/2017,198642397115,40948,AKGO,163121,408078,2016,NXBD,"$7,722.00",51581,1/10/2008,735092732,FGQX
8/31/2011,938105597502,43846,WEXV,205886,1478589,2021,VXKV,"$23,037.00",97408,11/10/2014,841813085,EORA
5/5/2012,996389485079,39322,VLWE,87490,397870,2010,HQTD,"$28,513.00",76890,12/12/2017,129979428,TPLC
3/13/2010,473341779698,41794,SBGV,243484,1149939,1997,FVLJ,"$11,856.00",20085,4/5/2012,375257384,BCVS
8/25/2013,157373808503,42897,HUGH,104901,51773,2007,OLUK,"$11,230.00",18673,4/30/2014,425349928,PMOX
4/17/2021,991131670676,40472,EYUJ,13813,648374,1987,GPSG,"$23,614.00",97403,3/14/2018,470152328,AMSN
4/13/2019,997734546236,42875,DKCE,115339,323351,1999,YPMI,"$19,662.00",52683,3/30/2018,944075966,QVQW
4/13/2013,138610575525,43421,QUII,143681,1316146,2013,FUMH,"$7,289.00",80644,6/9/2006,480179601,DIUO
7/29/2008,999060018441,40676,LAJJ,50350,775374,2022,PPME,"$9,850.00",20359,10/6/2013,698235887,UUIU
9/18/2005,110828729905,42614,LYHF,84148,1217609,1999,UHIF,"$9,449.00",90763,7/16/2010,113233071,BPAI
3/21/2018,571008699428,41917,LPTS,19271,985295,2010,QNTW,"$7,746.00",88868,2/12/2015,251440285,PNTU
10/14/2011,927653239621,42418,SGXT,226787,814407,1994,DOTW,"$16,698.00",21683,5/23/2010,855679506,WYDL
2/11/2005,254151047618,39738,SPQT,25489,237906,1992,CJAN,"$28,696.00",49345,1/9/2019,341997931,EPOW
6/12/2009,620989053902,43122,OKJF,73426,1421117,1983,ISVQ,"$5,139.00",99180,7/5/2009,607682446,NISN
5/8/2018,119889993216,41660,MKGS,204165,1137392,1993,ABVU,"$17,774.00",61929,8/27/2016,436643304,TYIJ
12/5/2016,608865557243,41036,KHNX,20113,238284,2002,PNPA,"$17,208.00",47676,6/17/2008,787471898,PIVQ
12/20/2014,614142631133,39232,PWOC,135791,558065,2001,SMTO,"$6,899.00",50197,5/9/2010,121497220,KDAW
12/26/2018,814681669123,41457,LDSL,131426,813844,2005,ECRU,"$28,271.00",37734,4/30/2015,232964122,AJYY
3/15/2009,245333798783,39338,NVFD,205526,34909,2004,XYBO,"$9,151.00",95380,8/5/2016,677866106,VPBJ
4/12/2007,749413484020,44228,NICN,133187,341948,2021,EJBR,"$17,683.00",49154,6/26/2014,621270183,JNOC
10/20/2016,214559336458,41974,SDWG,77300,1011118,2005,YUKX,"$29,633.00",87792,1/30/2016,328864691,CJFS
1/30/2020,598290563868,43399,DJMO,167635,55185,2012,OFPT,"$10,834.00",81483,9/27/2013,703367754,FIQA
11/5/2015,451230218832,40021,QQPX,198387,1140542,1984,XFAP,"$12,795.00",21948,11/28/2005,442435287,YKRY
9/5/2018,185577307550,39136,THTM,2279,1324646,2018,TXJF,"$23,309.00",39462,3/15/2006,958346892,LRTP
7/2/2017,646126620862,40864,RUQF,157418,152604,1991,BCIY,"$17,821.00",18825,2/14/2017,696222021,HBHJ
11/21/2020,958707074921,40513,DKUX,22205,1175872,2008,TNRP,"$9,062.00",74400,6/4/2009,862792753,RPLG
10/9/2012,255906595963,44311,TLYQ,161565,1198492,1991,QALB,"$23,883.00",77247,6/7/2018,829330856,QRGB
10/25/2012,170969616642,41798,XOIS,27241,1046079,2021,NTSP,"$20,836.00",53149,10/4/2013,632460781,WHKH
9/25/2013,999371559270,43836,DKIE,69897,1294560,1981,MLMY,"$13,014.00",82765,4/17/2019,749974618,PRCF
1/26/2021,217925167494,42585,IRLD,78941,691317,1981,EIJV,"$5,372.00",78892,8/18/2008,769670782,PHKP
12/30/2017,432147022274,39804,VASE,28215,296779,1986,PNAS,"$27,486.00",81061,2/14/2011,831386548,VGLA
9/26/2010,122197926116,40068,RTRK,42346,401277,1983,VFOX,"$24,138.00",97446,12/26/2019,667848183,FDAX
7/11/2019,899161550103,40921,FXKG,46338,877866,2003,RITU,"$20,674.00",80721,2/19/2019,701516578,ROVH
4/11/2019,372588828559,41920,FQYY,184150,1394933,2021,QFVH,"$13,439.00",79519,4/15/2005,719234539,JHPH
6/3/2018,344982262027,42164,WCFW,100850,78738,1986,QKRG,"$18,407.00",22179,7/13/2019,725547990,XSIG
9/26/2020,622656064375,41402,APWU,126712,673040,1998,CLYB,"$13,452.00",83945,1/14/2005,110652260,KLIR
7/1/2012,952585134990,40816,KPKG,55347,1007119,1984,WCXT,"$23,799.00",3320,6/2/2017,850143803,UWEH
12/14/2012,489967124870,43612,FFEN,196928,708116,1998,FWEA,"$8,684.00",35429,3/1/2015,700829038,JTLJ
12/11/2015,368710562951,38656,EGEQ,169790,42968,2003,UJCX,"$20,794.00",13228,5/28/2005,250822591,EILB
6/1/2006,276866912111,40083,IDGP,207690,100675,2016,ONAY,"$11,725.00",18872,5/22/2007,659464867,CBYQ
11/11/2016,316098142741,43023,IHOU,55582,992025,2012,TBAM,"$24,953.00",2036,3/8/2006,220554028,XBVF
9/7/2012,746382574802,43641,CTPS,165516,1220411,2009,KPBJ,"$21,612.00",22669,8/30/2015,329074151,IQNI
10/7/2006,242442087072,40814,ICCR,140539,406685,2017,FAGS,"$17,564.00",23084,2/20/2007,500450589,NUWX
8/16/2007,230162233340,40153,IJCW,88257,870464,2012,NJWA,"$17,999.00",97231,3/17/2016,694580840,UXUV
3/8/2012,486003431874,40292,CHUH,42092,626770,2004,TBID,"$18,666.00",72329,9/24/2018,969519105,BPCP
12/10/2008,149294868837,39891,WTEC,177939,633716,1998,AMFF,"$25,523.00",19678,1/27/2021,719426226,ADBQ
2/7/2014,666916602245,43440,RJJE,105714,1210420,1986,VDTH,"$14,195.00",26128,2/11/2013,937345276,PWYL
3/17/2020,381473620758,39637,FMOT,23097,821075,1982,KQTK,"$10,657.00",28618,1/23/2021,520116007,RJPW
2/22/2014,430101547763,39197,RPDG,186720,106130,2005,NSWE,"$12,704.00",31467,8/28/2018,674147379,BUDD
5/22/2017,780042407469,42399,EBOT,160016,568412,1997,HLOV,"$23,068.00",67153,7/13/2013,101049475,RTIY
12/15/2010,754426029993,39837,HYYI,124986,547323,2001,RFAR,"$11,218.00",30029,2/12/2005,439995628,NSTN
6/5/2013,620621959137,43674,VYYD,2514,916078,1999,IKAN,"$17,649.00",20631,12/6/2017,988315711,HNFL
5/7/2010,807744319836,39025,VUPB,47866,779211,2019,WFJW,"$5,872.00",29134,7/29/2006,757610606,QVNY
3/10/2020,130670002208,38922,RQKY,33197,686841,2014,LPSE,"$13,019.00",76903,7/17/2007,972896056,OJCF
4/25/2005,218380470386,41954,HNVS,39924,1138090,2002,UENQ,"$19,599.00",56698,10/5/2014,799793883,XVQL
2/11/2011,815730823815,41082,JMJL,201766,665685,2010,UBUU,"$26,533.00",59625,4/1/2008,271181150,JFSU
5/19/2006,970543278247,40429,CHSH,78550,203722,2018,WKSL,"$16,879.00",24692,11/10/2013,517292239,PAVW
9/24/2010,285321842022,42101,KKPO,200418,390736,1986,XSOY,"$24,402.00",73386,2/10/2005,312507396,FHNU
8/2/2011,329388662140,40802,YMIG,188793,1052477,1986,IPGB,"$23,267.00",54669,9/30/2011,520144951,CLAW
6/5/2007,361253069916,42797,PAJW,177703,440940,2016,OUBE,"$24,271.00",57884,7/27/2013,980967099,HMPU
12/4/2016,396628654858,40742,AAGV,68555,1460489,2008,LUED,"$18,276.00",1395,7/14/2006,295020596,UNDI
11/12/2012,214354745545,43044,FWQE,55275,1168973,2004,WYYC,"$14,832.00",26369,10/19/2013,241287172,WSVI
4/25/2015,270680439684,40933,IRRC,168110,1265832,1994,YFEI,"$23,221.00",15418,9/16/2014,212734527,BVKA
7/13/2006,372587292038,41691,XEOY,15837,1120759,1993,RGTE,"$15,252.00",81350,10/28/2010,618155230,LFTO
8/1/2012,887624796040,43126,XUMX,86415,819603,1985,BWPT,"$11,626.00",64921,1/13/2009,869382816,WOKQ
4/24/2013,207627154971,41702,HHJK,60438,635349,2022,FSSG,"$18,503.00",73436,7/19/2013,834859876,WJLL
12/17/2010,197281026834,43100,AOXT,2209,633725,1987,DHDW,"$13,036.00",50973,5/25/2018,446976629,AEBO
3/28/2014,979375089260,38745,AEAS,90086,1365501,1997,YCUT,"$15,929.00",32683,12/1/2011,943182498,OKIN
8/30/2015,349402217441,38959,PEYD,100142,876126,1990,FCWJ,"$9,895.00",91239,1/10/2011,456072211,WFGW
7/30/2020,572345729221,42752,WOBJ,39104,383071,1996,XOMB,"$21,756.00",37050,11/24/2014,242617244,UCCL
10/10/2015,440554060413,40525,XIBW,84142,989871,1986,KABI,"$11,063.00",65683,7/20/2014,784931575,ORCU
10/15/2005,426307616012,43451,XYCS,53459,655131,2000,HGFN,"$15,796.00",40691,9/2/2005,526505877,YWOQ
9/6/2006,285185876831,39862,MGWW,109879,1254617,2005,OEHH,"$20,497.00",47155,9/10/2011,873803985,WPMK
6/3/2012,160401280539,43744,PONO,227726,373149,2009,GLBP,"$15,610.00",12461,9/1/2020,446667926,VWBQ
3/1/2014,802562053198,42767,ITYA,182009,626913,1983,CREE,"$10,324.00",21087,6/19/2009,525879428,FEAO
11/28/2010,437633310374,40281,GVAD,178939,1135470,2004,MLKR,"$27,177.00",99063,1/9/2017,330509412,HFKM
12/27/2006,252743932981,41232,EBJC,164131,232961,1981,FKRB,"$22,559.00",5775,3/7/2019,870540906,WYPH
3/4/2010,470302509606,43668,RKRH,58953,573040,1985,XGPB,"$24,905.00",39948,1/28/2014,647144138,WYQV
11/23/2016,753150335043,44263,JNGI,218204,281424,1997,UHAQ,"$27,903.00",49608,10/29/2015,592253548,RKKF
11/2/2019,839547511951,42741,HGYV,2605,657616,1982,FIQR,"$20,424.00",4860,4/29/2021,916311114,UGBP
11/19/2020,776150960712,40678,TBBU,9806,652044,1997,JCBC,"$29,757.00",18717,3/3/2005,607602933,KXOH
7/1/2006,689616243793,42567,ESHS,139988,1054626,2007,YDEC,"$17,969.00",77713,8/27/2016,308182192,TYWN
12/1/2008,376742280958,41325,DUPI,200124,1018543,1980,XLAR,"$16,616.00",20140,2/1/2012,311783680,WLSU
1/13/2011,463257141175,41542,TGNU,16849,1113266,1984,YUUE,"$6,705.00",70357,12/22/2009,648702696,UGOA
4/24/2008,657013580864,39072,GMGC,100097,263679,2000,KPSF,"$25,489.00",87036,7/26/2011,367691766,YPHO
3/18/2020,105248575707,42006,BMUB,145027,1356903,1989,DIHB,"$8,834.00",60219,7/7/2018,736882577,GMBT
11/13/2015,415540904901,43495,MYUH,43596,1053128,2022,SSAQ,"$17,920.00",96557,1/13/2016,489467179,DWPW
2/23/2018,170752460083,42236,DYNB,88153,662388,1999,PDPC,"$12,478.00",20632,3/10/2008,993255818,LVBR
11/21/2012,200066616214,42811,FDHF,40108,589961,1991,IICO,"$25,262.00",93649,11/29/2015,786942954,HYKN
3/31/2012,610952555356,42403,FIRK,147564,778721,1995,LCQL,"$26,067.00",60828,7/28/2016,196167650,GQOK
6/24/2007,421163434087,43280,APVV,132670,1378093,2008,RBND,"$11,231.00",58851,12/8/2005,317381739,HIHO
11/5/2018,355181146230,38609,KSVD,143498,534567,1982,WVJS,"$13,156.00",43618,12/18/2015,261054647,HFCJ
5/18/2006,553692121934,38599,UCST,196258,1052781,1992,CORP,"$11,901.00",21477,2/27/2011,510825874,NDXR
8/6/2014,984123407154,38402,FMAG,249643,865372,2005,TTDL,"$13,210.00",77303,5/15/2013,471694274,QWFP
9/22/2005,457693507179,42405,TRBI,52425,621693,2010,XNSY,"$26,380.00",75766,3/20/2015,340372518,ILNJ
7/4/2016,368207982548,39192,EKFM,159943,551256,2003,YYXB,"$8,206.00",29449,3/4/2008,958564905,SURD
7/26/2009,367183007756,43737,BBQH,30671,267676,1991,YPVU,"$27,612.00",83549,7/1/2014,439043136,CSXC
4/9/2011,687243298810,43411,EQWC,32986,719974,1989,BXRI,"$20,706.00",24100,4/14/2005,622841135,MXBQ
1/17/2005,595716365253,40318,NFPC,208154,979051,1994,SRDR,"$7,437.00",27735,6/28/2015,581290925,LEMK
5/13/2015,517856758895,42707,KEKT,222255,633203,1995,TRCB,"$26,125.00",21497,5/19/2010,842825777,WNML
11/23/2007,983467884644,41191,EWRS,56202,661449,2010,TYEW,"$17,952.00",34036,3/6/2009,455538871,MJHU
7/13/2011,473263343150,43856,KXQL,212139,1251270,2006,SYRR,"$22,895.00",46269,5/30/2020,248279586,UXWK
8/18/2007,499110561192,41661,KQLA,120605,888957,2001,AUKQ,"$22,990.00",79351,3/9/2005,230732088,ADYC
6/10/2019,162069777238,41426,TOCH,202825,885440,2015,RHJG,"$20,284.00",2804,12/23/2010,765451381,KGQF
1/11/2012,818532943770,38394,PTEH,104242,153096,1990,KEAU,"$6,535.00",12407,8/23/2012,236306557,UDML
7/1/2013,838761342625,42878,XVBE,177345,383764,1987,FRAM,"$21,375.00",66449,7/7/2005,787749321,LVPS
1/7/2008,834201130235,41584,CEWG,143963,240215,1993,CSJN,"$9,791.00",91755,9/24/2006,923112312,NOCC
9/19/2011,495582680565,43392,VWJQ,185224,556425,2000,JALG,"$5,680.00",58510,3/28/2011,412854698,WRQT
3/12/2011,926921491437,38377,XWFJ,134188,382564,2006,BJWX,"$10,610.00",96906,8/13/2013,389894737,MACP
5/25/2020,673889588588,39014,XTTA,240950,658997,2005,AXVD,"$27,552.00",38573,6/28/2020,663399069,CWVS
8/15/2011,824336282641,43803,QSWT,141920,427247,2002,HTHH,"$13,852.00",47057,1/20/2016,353447525,AMFK
12/21/2009,290701605468,44202,RGGC,125913,368263,1996,CMLL,"$16,962.00",87377,5/8/2018,114657460,ABDE
3/14/2019,416461107091,38645,FITV,45290,431628,2012,LGDH,"$11,714.00",8052,2/22/2018,513340506,BPAM
8/7/2009,803927696044,40479,CYUM,71491,593245,1999,DRYE,"$27,689.00",9776,5/9/2009,536415655,VESU
2/6/2011,832031922125,43420,SJJF,73473,12541,1984,XDQV,"$5,223.00",29244,2/1/2017,737338343,AXSC
4/25/2012,806182255553,44123,IMFG,138586,1451295,1982,PQGX,"$14,942.00",83663,1/4/2005,297425046,KKHP
6/13/2020,654762879668,38845,MDOC,224630,910836,2000,MPKX,"$22,294.00",8042,4/19/2007,439718105,URTY
1/6/2011,703681418696,40955,WHAC,3517,462002,2021,BFTG,"$23,155.00",85440,6/29/2014,217652684,HPQQ
1/5/2010,475535204890,43299,KCRT,158072,1313731,2018,YMTS,"$15,128.00",69060,2/14/2020,680436524,ETSE
11/19/2019,722649102965,40294,PAXR,236550,278873,2007,AYOI,"$7,018.00",74382,6/12/2006,606666825,EOQU
11/5/2006,905057038182,40884,VWBU,228108,405971,1987,GJHD,"$13,494.00",87761,3/29/2005,312571545,HXUT
3/26/2014,893019058541,43986,OMWU,137391,595271,2015,DGYE,"$6,854.00",51407,1/10/2009,324584057,WXLD
5/8/2019,776990094749,42801,KQHH,197346,95589,1999,ICHA,"$26,645.00",13918,10/25/2017,903062563,MTNR
2/2/2013,997855979328,42818,VJTU,91366,1091716,2009,EEDY,"$26,506.00",76365,6/3/2012,506467473,DDHP
5/11/2015,939573358967,39254,ISHK,209698,996778,1986,JHVB,"$16,345.00",19514,12/18/2015,147207852,JMWT
10/31/2012,189512700552,44298,JBYV,203974,139942,1980,OOWY,"$8,985.00",32060,2/19/2010,821145118,WUMY
9/20/2016,295345566353,43436,EPXX,12932,142156,1992,NQGT,"$17,835.00",28156,4/8/2005,860663445,TWPJ
5/10/2006,860577914988,41275,IWDI,131707,675899,2002,YKIW,"$11,935.00",32550,1/30/2021,393166055,UCHQ
6/26/2014,504944707469,42664,NBVE,101674,884905,2017,SFGF,"$28,211.00",80621,10/13/2012,429158646,MEJY
3/19/2013,602452843818,43380,IXYU,188177,1461409,2014,PRHN,"$21,426.00",53356,5/22/2006,611887915,ULYE
9/5/2018,218728427588,38695,SXKY,89850,236363,2001,GGYY,"$9,085.00",63823,3/31/2011,711444260,JWQN
8/30/2016,978037032984,40914,YAMH,134975,659369,1990,YTMH,"$14,790.00",97606,11/25/2014,527175193,FWTF
1/3/2006,256006092871,43477,BLOU,214146,62021,1990,IPJV,"$23,685.00",20772,11/22/2015,256075712,PSQY
11/30/2019,601429893405,41624,DKMY,132760,380995,1997,KPCK,"$15,002.00",35815,12/28/2020,587365315,EUJS
2/7/2019,278210261975,42034,CMGM,115460,289171,1989,HWYE,"$29,404.00",67660,10/13/2009,108776559,TFHX
7/23/2018,438503835550,41741,XOMV,26827,453663,1984,FHCS,"$17,976.00",69227,11/30/2005,695333625,BXEE
3/9/2005,931881918782,43223,RLHG,2064,12927,2005,UFMW,"$9,069.00",54212,10/11/2011,150907713,VFNR
5/11/2008,282227721240,42470,RAAC,118696,1423846,2006,FVQC,"$22,823.00",64061,11/6/2015,533771931,WPEP
6/14/2015,297729761015,38835,HVEW,147299,1257077,2013,XUFA,"$14,645.00",6031,9/19/2017,937881587,HGKT
9/20/2017,288078249799,40271,DWRF,20142,815554,1992,JJVW,"$17,580.00",3345,3/29/2007,265110898,VHCW
1/31/2012,421397671699,38967,IFRK,117785,647187,1992,WLYQ,"$22,219.00",6900,10/6/2020,661412332,GPPD
5/16/2020,282949572378,42576,BWTK,172619,983514,2018,BSKQ,"$25,697.00",66728,9/3/2020,426607940,YEMC
7/17/2009,613388824586,43101,LKUN,226984,661122,1981,JUKE,"$8,894.00",96358,1/7/2013,673805121,XAQD
8/7/2011,848643478969,39117,OTGK,138324,252346,2018,SQVX,"$7,092.00",9040,12/2/2015,581534270,XGFP
2/20/2019,153622708763,42036,UMWG,173392,276358,2017,LGWK,"$14,785.00",38200,10/6/2006,113890273,ADTN
12/5/2013,474097694149,41203,NRGT,14611,554779,1990,YQQU,"$17,347.00",93350,11/28/2013,425495556,TJAS
10/20/2007,379422999939,43074,BYPD,8921,1342156,2005,FDCP,"$8,769.00",30910,8/31/2020,110845960,GPEF
